observation_date,GDPC1
2006-01-01,16353.835
2006-04-01,16396.151
2006-07-01,16420.738
2006-10-01,16561.866
2007-01-01,16611.690
2007-04-01,16713.314
2007-07-01,16809.587
2007-10-01,16915.191
2008-01-01,16843.003
2008-04-01,16943.291
2008-07-01,16854.295
2008-10-01,16485.350
2009-01-01,16298.262
2009-04-01,16269.145
2009-07-01,16326.281
2009-10-01,16502.754
2010-01-01,16582.710
2010-04-01,16743.162
2010-07-01,16872.266
2010-10-01,16960.864
2011-01-01,16920.632
2011-04-01,17035.114
2011-07-01,17031.313
2011-10-01,17222.583
2012-01-01,17367.010
2012-04-01,17444.525
2012-07-01,17469.650
2012-10-01,17489.852
