observation_date,PCEPI
2006-01-01,83.534
2006-02-01,83.584
2006-03-01,83.746
2006-04-01,84.135
2006-05-01,84.361
2006-06-01,84.569
2006-07-01,84.858
2006-08-01,85.125
2006-09-01,84.902
2006-10-01,84.702
2006-11-01,84.731
2006-12-01,85.032
2007-01-01,85.316
2007-02-01,85.581
2007-03-01,85.894
2007-04-01,86.096
2007-05-01,86.346
2007-06-01,86.529
2007-07-01,86.661
2007-08-01,86.720
2007-09-01,87.054
2007-10-01,87.318
2007-11-01,87.781
2007-12-01,87.984
2008-01-01,88.206
2008-02-01,88.382
2008-03-01,88.635
2008-04-01,88.799
2008-05-01,89.180
2008-06-01,89.827
2008-07-01,90.245
2008-08-01,90.172
2008-09-01,90.247
2008-10-01,89.651
2008-11-01,88.593
2008-12-01,88.098
2009-01-01,88.108
2009-02-01,88.266
2009-03-01,88.169
2009-04-01,88.295
2009-05-01,88.387
2009-06-01,88.912
2009-07-01,88.922
2009-08-01,89.180
2009-09-01,89.324
2009-10-01,89.663
2009-11-01,89.887
2009-12-01,89.939
2010-01-01,90.136
2010-02-01,90.134
2010-03-01,90.261
2010-04-01,90.310
2010-05-01,90.339
2010-06-01,90.301
2010-07-01,90.378
2010-08-01,90.502
2010-09-01,90.592
2010-10-01,90.881
2010-11-01,91.062
2010-12-01,91.268
2011-01-01,91.542
2011-02-01,91.797
2011-03-01,92.166
2011-04-01,92.557
2011-05-01,92.838
2011-06-01,92.819
2011-07-01,92.977
2011-08-01,93.196
2011-09-01,93.327
2011-10-01,93.329
2011-11-01,93.520
2011-12-01,93.574
2012-01-01,93.894
2012-02-01,94.104
2012-03-01,94.284
2012-04-01,94.408
2012-05-01,94.302
2012-06-01,94.254
2012-07-01,94.288
2012-08-01,94.605
2012-09-01,94.893
2012-10-01,95.174
2012-11-01,95.109
2012-12-01,95.094
